Decade,UN_Geosheme_Subregion,Disaster_Type,Climate_Scenario,Financial_mpact,Human_Impact,Disaster_Occurence
1900,Eastern Europe,Storms,,2263621,253339,1
1900,Melanesia,Droughts,,97796523,960251,57
1900,Melanesia,Droughts,,13564291,230111,95
1900,Melanesia,Droughts,,16887569,955827,79
1900,Melanesia,Droughts,,66043170,854155,33
1900,Melanesia,Floods,,58215815,312444,8
1900,Melanesia,Floods,,54881004,771541,93
1900,Melanesia,Floods,,84962394,670143,90
1900,Melanesia,Floods,,49624173,161969,56
1900,Melanesia,Storms,,15201285,193519,71
1900,Melanesia,Storms,,48307735,360035,34
1900,Melanesia,Storms,,68919862,918261,57
1900,Melanesia,Storms,,86911043,435673,92
1900,Micronesia,Droughts,,65319428,798032,19
1900,Micronesia,Droughts,,66404289,445566,40
1900,Micronesia,Droughts,,30018168,231113,79
1900,Micronesia,Droughts,,99645770,249383,76
1900,Micronesia,Floods,,94896549,805131,44
1900,Micronesia,Floods,,86650767,746224,69
1900,Micronesia,Floods,,25513623,628416,62
1900,Micronesia,Floods,,88583384,11726,47
1900,Micronesia,Storms,,65722327,463913,21
1900,Micronesia,Storms,,35445222,151631,35
1900,Micronesia,Storms,,17848752,987779,27
1900,Micronesia,Storms,,25337989,50078,28
1900,Middle Africa,Droughts,,6559306,875435,66
1900,Middle Africa,Droughts,,6164471,907938,78
1900,Middle Africa,Droughts,,16579673,294698,12
1900,Middle Africa,Droughts,,58362959,72161,47
1900,Middle Africa,Floods,,56590462,421472,4
1900,Middle Africa,Floods,,6771045,330616,90
1900,Middle Africa,Floods,,76350820,200201,49
1900,Middle Africa,Floods,,98606297,354540,41
1900,Middle Africa,Storms,,60943829,965498,70
1900,Middle Africa,Storms,,97416354,108828,16
1900,Middle Africa,Storms,,59825890,764429,80
1900,Middle Africa,Storms,,44224035,494455,59
1900,Northern Africa,Droughts,,98689216,53033,8
1900,Northern Africa,Droughts,,8433817,283722,38
1900,Northern Africa,Droughts,,98917251,773137,69
1900,Northern Africa,Droughts,,93749865,710838,78
1900,Northern Africa,Floods,,40522010,69946,27
1900,Northern Africa,Floods,,687976,46004,18
1900,Northern Africa,Floods,,73567073,104489,69
1900,Northern Africa,Floods,,57861182,766670,20
1900,Northern Africa,Storms,,64402137,251352,40
1900,Northern Africa,Storms,,79584075,161532,85
1900,Northern Africa,Storms,,16980669,645395,1
1900,Northern Africa,Storms,,91340770,493079,71
1900,Northern America,Droughts,,41361557,233324,97
1900,Northern America,Droughts,,47515642,523833,37
1900,Northern America,Droughts,,24214446,175663,10
1900,Northern America,Droughts,,76970287,115753,51
1900,Northern America,Floods,,21747017,946181,31
1900,Northern America,Floods,,40143928,970555,34
1900,Northern America,Floods,,87080767,853371,73
1900,Northern America,Floods,,70794618,303313,51
1900,Northern America,Storms,,87423567,758106,8
1900,Northern America,Storms,,57829551,474186,75
1900,Northern America,Storms,,40587813,420039,12
1900,Northern America,Storms,,92627233,821118,42
1900,Northern Europe,Droughts,,72611644,263651,23
1900,Northern Europe,Droughts,,72240794,355429,94
1900,Northern Europe,Droughts,,79957504,480317,18
1900,Northern Europe,Droughts,,80944605,686472,70
1900,Northern Europe,Floods,,98214166,911510,9
1900,Northern Europe,Floods,,60912712,690545,0
1900,Northern Europe,Floods,,1332881,115729,71
1900,Northern Europe,Floods,,65141024,28510,93
1900,Northern Europe,Storms,,30542208,206929,76
1900,Northern Europe,Storms,,38530605,957796,2
1900,Northern Europe,Storms,,79618790,759685,40
1900,Northern Europe,Storms,,18744036,98025,77
1900,Polynesia,Droughts,,81890710,497378,67
1900,Polynesia,Droughts,,23462212,319758,76
1900,Polynesia,Droughts,,67053783,746156,97
1900,Polynesia,Droughts,,95105523,288263,85
1900,Polynesia,Floods,,70422996,875660,48
1900,Polynesia,Floods,,3912495,581159,68
1900,Polynesia,Floods,,4747340,306843,4
1900,Polynesia,Floods,,7416647,176408,39
1900,Polynesia,Storms,,31084370,15634,53
1900,Polynesia,Storms,,69428400,72007,65
1900,Polynesia,Storms,,39155851,730514,20
1900,Polynesia,Storms,,76638024,260806,13
1900,South America,Droughts,,97996669,565079,49
1900,South America,Droughts,,46086577,887469,71
1900,South America,Droughts,,84410800,220529,82
1900,South America,Droughts,,40787079,454470,52
1900,South America,Floods,,80177892,241015,91
1900,South America,Floods,,10561303,871404,8
1900,South America,Floods,,1382983,625415,59
1900,South America,Floods,,67772040,395230,44
1900,South America,Storms,,2339091,258155,9
1900,South America,Storms,,92331515,385067,18
1900,South America,Storms,,94755841,9327,40
1900,South America,Storms,,28177317,848259,57
1900,South-Eastern Asia,Droughts,,59407870,297818,3
1900,South-Eastern Asia,Droughts,,68345243,913488,71
1900,South-Eastern Asia,Droughts,,85846073,988118,44
1900,South-Eastern Asia,Droughts,,80281271,813767,45
1900,South-Eastern Asia,Floods,,43648521,927201,17
1900,South-Eastern Asia,Floods,,790239,646942,63
1900,South-Eastern Asia,Floods,,83055143,284562,65
1900,South-Eastern Asia,Floods,,3634202,458431,14
1900,South-Eastern Asia,Storms,,63714028,524801,68
1900,South-Eastern Asia,Storms,,41668063,993527,37
1900,South-Eastern Asia,Storms,,49398440,372144,90
1900,South-Eastern Asia,Storms,,1558371,832966,98
1900,Southern Africa,Droughts,,24256890,43477,5
1900,Southern Africa,Droughts,,10937461,572642,41
1900,Southern Africa,Droughts,,36362107,357575,86
1900,Southern Africa,Droughts,,44818758,498913,50
1900,Southern Africa,Floods,,74024974,647648,44
1900,Southern Africa,Floods,,35181575,411473,4
1900,Southern Africa,Floods,,30904027,715090,9
1900,Southern Africa,Floods,,53730817,263920,91
1900,Southern Africa,Storms,,19439308,9785,13
1900,Southern Africa,Storms,,61217164,918779,59
1900,Southern Africa,Storms,,78477417,556678,76
1900,Southern Africa,Storms,,90829514,706674,12
1900,Southern Asia,Droughts,,24452067,395005,85
1900,Southern Asia,Droughts,,41222073,280116,72
1900,Southern Asia,Droughts,,37882001,921141,15
1900,Southern Asia,Droughts,,21977068,139825,52
1900,Southern Asia,Floods,,98777501,655593,59
1900,Southern Asia,Floods,,20016488,874606,89
1900,Southern Asia,Floods,,74791161,979105,5
1900,Southern Asia,Floods,,70460430,512178,84
1900,Southern Asia,Storms,,77476465,337068,44
1900,Southern Asia,Storms,,57031,564259,0
1900,Southern Asia,Storms,,89556790,77762,85
1900,Southern Asia,Storms,,28411792,633831,26
1900,Southern Europe,Droughts,,13359503,287939,91
1900,Southern Europe,Droughts,,43606028,355190,27
1900,Southern Europe,Droughts,,73217660,460867,21
1900,Southern Europe,Droughts,,65528457,947212,69
1900,Southern Europe,Floods,,19467417,147085,80
1900,Southern Europe,Floods,,37216392,216932,70
1900,Southern Europe,Floods,,81485388,942845,8
1900,Southern Europe,Floods,,95064352,462402,44
1900,Southern Europe,Storms,,20101321,610987,10
1900,Southern Europe,Storms,,8640793,805703,38
1900,Southern Europe,Storms,,39122631,241794,56
1900,Southern Europe,Storms,,66910077,701260,14
1900,Western Africa,Droughts,,85509625,431414,78
1900,Western Africa,Droughts,,27697355,899453,9
1900,Western Africa,Droughts,,27984639,449302,40
1900,Western Africa,Droughts,,96611817,868435,20
1900,Western Africa,Floods,,76437249,600612,20
1900,Western Africa,Floods,,6115,182878,79
1900,Western Africa,Floods,,97846729,826115,94
1900,Western Africa,Floods,,22159689,586252,7
1900,Western Africa,Storms,,22175394,460137,99
1900,Western Africa,Storms,,83064163,992946,72
1900,Western Africa,Storms,,79260483,596079,74
1900,Western Africa,Storms,,1598145,905659,48
1900,Western Asia,Droughts,,3781697,660165,48
1900,Western Asia,Droughts,,58521168,714733,46
1900,Western Asia,Droughts,,92438249,856794,92
1900,Western Asia,Droughts,,37684703,750186,69
1900,Western Asia,Floods,,16660259,895063,52
1900,Western Asia,Floods,,47737307,377392,63
1900,Western Asia,Floods,,40062576,289610,87
1900,Western Asia,Floods,,1027750,861154,92
1900,Western Asia,Storms,,95361423,729307,78
1900,Western Asia,Storms,,78116785,857187,27
1900,Western Asia,Storms,,30406452,506316,95
1900,Western Asia,Storms,,54562859,573190,57
1900,Western Europe,Droughts,,13913183,121507,80
1900,Western Europe,Droughts,,23934720,456483,79
1900,Western Europe,Droughts,,82020076,775886,76
1900,Western Europe,Droughts,,57666351,76269,20
1900,Western Europe,Floods,,24628001,539848,68
1900,Western Europe,Floods,,5679723,861925,85
1900,Western Europe,Floods,,49148607,481675,95
1900,Western Europe,Floods,,49238205,839284,97
1900,Western Europe,Storms,,83620561,991180,34
1900,Western Europe,Storms,,53640996,933121,67
1900,Western Europe,Storms,,39664747,448041,96
1900,Western Europe,Storms,,79586877,130405,3
1910,Australia and New Zealand,Droughts,,57294661,532844,23
1910,Australia and New Zealand,Droughts,,14016149,851128,81
1910,Australia and New Zealand,Droughts,,5155654,277505,64
1910,Australia and New Zealand,Droughts,,79391041,752768,70
1910,Australia and New Zealand,Floods,,42291782,624298,14
1910,Australia and New Zealand,Floods,,27071388,90005,84
1910,Australia and New Zealand,Floods,,28063273,569416,1
1910,Australia and New Zealand,Floods,,98512268,770885,39
1910,Australia and New Zealand,Storms,,62260361,775860,24
1910,Australia and New Zealand,Storms,,14685193,308472,72
1910,Australia and New Zealand,Storms,,24753157,667676,10
1910,Australia and New Zealand,Storms,,71296735,578338,75
1910,Caribbean,Droughts,,65929108,319605,22
1910,Caribbean,Droughts,,79214470,789846,95
1910,Caribbean,Droughts,,63750098,617543,16
1910,Caribbean,Droughts,,32231887,444240,78
1910,Caribbean,Floods,,98757294,971210,78
1910,Caribbean,Floods,,98190255,925285,3
1910,Caribbean,Floods,,99891661,585998,73
1910,Caribbean,Floods,,76982984,21771,82
1910,Caribbean,Storms,,93696609,43619,73
1910,Caribbean,Storms,,14233468,482135,29
1910,Caribbean,Storms,,79892429,684902,51
1910,Caribbean,Storms,,91629562,558163,43
1910,Central America,Droughts,,83504729,974348,96
1910,Central America,Droughts,,3955734,783325,83
1910,Central America,Droughts,,84292536,565580,65
1910,Central America,Droughts,,99036216,531309,0
1910,Central America,Floods,,34872583,453927,33
1910,Central America,Floods,,77671917,188267,95
1910,Central America,Floods,,14187636,352285,65
1910,Central America,Floods,,53700088,17180,58
1910,Central America,Storms,,5363305,3436,18
1910,Central America,Storms,,36748761,506844,96
1910,Central America,Storms,,1692490,973510,34
1910,Central America,Storms,,25719200,949633,20
1910,Central Asia,Droughts,,45157992,456168,13
1910,Central Asia,Droughts,,50893085,680267,8
1910,Central Asia,Droughts,,74922694,811133,27
1910,Central Asia,Droughts,,42748658,489066,0
1910,Central Asia,Floods,,24067102,2301,90
1910,Central Asia,Floods,,66203209,401354,55
1910,Central Asia,Floods,,40576527,176982,58
1910,Central Asia,Floods,,29704409,156967,75
1910,Central Asia,Storms,,947721,620760,6
1910,Central Asia,Storms,,17021969,408591,81
1910,Central Asia,Storms,,97537042,773897,44
1910,Central Asia,Storms,,70942872,520663,7
1910,Eastern Africa,Droughts,,21663308,225402,27
1910,Eastern Africa,Droughts,,30069233,595321,58
1910,Eastern Africa,Droughts,,9062778,475032,79
1910,Eastern Africa,Droughts,,48362497,701324,98
1910,Eastern Africa,Floods,,44621846,451674,68
1910,Eastern Africa,Floods,,64684999,813423,8
1910,Eastern Africa,Floods,,87748510,205845,29
1910,Eastern Africa,Floods,,71335188,17504,43
1910,Eastern Africa,Storms,,84785134,694753,79
1910,Eastern Africa,Storms,,96808828,383391,94
1910,Eastern Africa,Storms,,71922449,634403,9
1910,Eastern Africa,Storms,,38323699,761469,57
1910,Eastern Asia,Droughts,,90190161,37472,62
1910,Eastern Asia,Droughts,,12255805,379768,48
1910,Eastern Asia,Droughts,,24092646,49527,98
1910,Eastern Asia,Droughts,,37217397,55800,99
1910,Eastern Asia,Floods,,42266627,525161,31
1910,Eastern Asia,Floods,,73556549,289430,7
1910,Eastern Asia,Floods,,13549723,918783,30
1910,Eastern Asia,Floods,,43106434,516189,7
1910,Eastern Asia,Storms,,69877439,47331,57
1910,Eastern Asia,Storms,,8548449,428667,14
1910,Eastern Asia,Storms,,62158859,381315,98
1910,Eastern Asia,Storms,,23138551,982478,17
1910,Eastern Europe,Droughts,,36519348,730773,98
1910,Eastern Europe,Droughts,,89810245,514971,55
1910,Eastern Europe,Droughts,,48104034,604241,98
1910,Eastern Europe,Droughts,,30272904,621747,86
1910,Eastern Europe,Floods,,43262069,937647,86
1910,Eastern Europe,Floods,,58789335,827708,27
1910,Eastern Europe,Floods,,27932254,888519,49
1910,Eastern Europe,Floods,,45394746,736621,94
1910,Eastern Europe,Storms,,31350821,633819,27
1910,Eastern Europe,Storms,,7954183,229916,7
1910,Eastern Europe,Storms,,27905733,363858,17
1910,Eastern Europe,Storms,,9665329,331368,79
1910,Melanesia,Droughts,,29204706,35664,91
1910,Melanesia,Droughts,,17648826,979730,9
1910,Melanesia,Droughts,,97525935,820950,47
1910,Melanesia,Droughts,,5161641,786584,55
1910,Melanesia,Floods,,84363228,317478,79
1910,Melanesia,Floods,,69712970,156211,9
1910,Melanesia,Floods,,33725466,961670,32
1910,Melanesia,Floods,,92825774,647700,44
1910,Melanesia,Storms,,22107278,234140,15
1910,Melanesia,Storms,,47669195,136334,32
1910,Melanesia,Storms,,65586347,28733,59
1910,Melanesia,Storms,,37477963,658422,92
1910,Micronesia,Droughts,,51616857,921505,8
1910,Micronesia,Droughts,,86956973,389927,69
1910,Micronesia,Droughts,,89762234,562249,36
1910,Micronesia,Droughts,,92472645,74318,79
1910,Micronesia,Floods,,94733125,921837,90
1910,Micronesia,Floods,,60879918,401775,16
1910,Micronesia,Floods,,84400453,493039,61
1910,Micronesia,Floods,,61284651,962223,53
1910,Micronesia,Storms,,79060442,770207,10
1910,Micronesia,Storms,,2740800,278541,65
1910,Micronesia,Storms,,44038097,458897,75
1910,Micronesia,Storms,,64172248,195969,5
1910,Middle Africa,Droughts,,58633614,88034,89
1910,Middle Africa,Droughts,,53589616,213508,99
1910,Middle Africa,Droughts,,69360982,40649,35
1910,Middle Africa,Droughts,,1175503,587008,7
1910,Middle Africa,Floods,,78178556,417956,81
1910,Middle Africa,Floods,,37561484,93340,58
1910,Middle Africa,Floods,,2597429,912798,22
1910,Middle Africa,Floods,,85623651,341779,23
1910,Middle Africa,Storms,,24574422,439574,28
1910,Middle Africa,Storms,,55024842,168016,16
1910,Middle Africa,Storms,,85840027,445000,68
1910,Middle Africa,Storms,,35505423,231174,56
1910,Northern Africa,Droughts,,92455234,371692,83
1910,Northern Africa,Droughts,,69735633,868306,6
1910,Northern Africa,Droughts,,86933706,483093,89
1910,Northern Africa,Droughts,,33214485,103700,95
1910,Northern Africa,Floods,,88117102,407349,87
1910,Northern Africa,Floods,,40568691,887625,59
1910,Northern Africa,Floods,,54519506,368464,92
1910,Northern Africa,Floods,,55412706,453028,72
1910,Northern Africa,Storms,,39656745,899613,27
1910,Northern Africa,Storms,,82164,267761,8
1910,Northern Africa,Storms,,29384906,513006,30
1910,Northern Africa,Storms,,50815865,199887,23
1910,Northern America,Droughts,,99957190,647833,99
1910,Northern America,Droughts,,11884414,704653,67
1910,Northern America,Droughts,,47648165,403167,41
1910,Northern America,Droughts,,86449199,12975,31
1910,Northern America,Floods,,47854312,828711,5
1910,Northern America,Floods,,41535550,615627,80
1910,Northern America,Floods,,39127878,821969,88
1910,Northern America,Floods,,69607646,268873,27
1910,Northern America,Storms,,71595541,436939,44
1910,Northern America,Storms,,71957758,286275,73
1910,Northern America,Storms,,90646743,822243,35
1910,Northern America,Storms,,50320634,608557,52
1910,Northern Europe,Droughts,,64385431,761900,40
1910,Northern Europe,Droughts,,33052523,387178,16
1910,Northern Europe,Droughts,,77189756,376204,92
1910,Northern Europe,Droughts,,80284182,728084,71
1910,Northern Europe,Floods,,26218410,242951,85
1910,Northern Europe,Floods,,84568244,764771,57
1910,Northern Europe,Floods,,8946189,836437,59
1910,Northern Europe,Floods,,14415550,454636,74
1910,Northern Europe,Storms,,12959398,631912,11
1910,Northern Europe,Storms,,74192487,247501,71
1910,Northern Europe,Storms,,91292283,430884,46
1910,Northern Europe,Storms,,44014521,40917,62
1910,Polynesia,Droughts,,1574796,890495,35
1910,Polynesia,Droughts,,27857006,358491,83
1910,Polynesia,Droughts,,4686794,496273,0
1910,Polynesia,Droughts,,37764871,546263,36
1910,Polynesia,Floods,,35744463,878139,74
1910,Polynesia,Floods,,68845627,204419,25
1910,Polynesia,Floods,,69454337,444952,77
1910,Polynesia,Floods,,20384810,552414,43
1910,Polynesia,Storms,,89642398,381630,85
1910,Polynesia,Storms,,3149833,304308,22
1910,Polynesia,Storms,,95619750,205000,55
1910,Polynesia,Storms,,21404479,723341,18
1910,South America,Droughts,,44254233,502395,65
1910,South America,Droughts,,32657357,489262,59
1910,South America,Droughts,,65368687,904910,36
1910,South America,Droughts,,68933038,469932,68
1910,South America,Floods,,42361365,914100,53
1910,South America,Floods,,22408920,978212,25
1910,South America,Floods,,68761193,877192,69
1910,South America,Floods,,82735030,367880,63
1910,South America,Storms,,32724216,27391,4
1910,South America,Storms,,59576716,601923,67
1910,South America,Storms,,60317074,858480,74
1910,South America,Storms,,83079889,36483,11
1910,South-Eastern Asia,Droughts,,49908987,896759,32
1910,South-Eastern Asia,Droughts,,10316718,63220,27
1910,South-Eastern Asia,Droughts,,92477523,204481,19
1910,South-Eastern Asia,Droughts,,74970393,849394,3
1910,South-Eastern Asia,Floods,,19195397,744410,23
1910,South-Eastern Asia,Floods,,12312807,857119,82
1910,South-Eastern Asia,Floods,,86624753,480462,49
1910,South-Eastern Asia,Floods,,28203228,292854,47
1910,South-Eastern Asia,Storms,,25970959,174387,30
1910,South-Eastern Asia,Storms,,84827208,259753,8
1910,South-Eastern Asia,Storms,,95062825,345293,72
1910,South-Eastern Asia,Storms,,59048178,997085,3
1910,Southern Africa,Droughts,,69040030,63912,77
1910,Southern Africa,Droughts,,39361181,628439,47
1910,Southern Africa,Droughts,,65395338,391662,97
1910,Southern Africa,Droughts,,9174891,760996,72
1910,Southern Africa,Floods,,31249352,118461,83
1910,Southern Africa,Floods,,65660680,739924,92
1910,Southern Africa,Floods,,99771962,990785,93
1910,Southern Africa,Floods,,57175452,314461,19
1910,Southern Africa,Storms,,38536431,183198,86
1910,Southern Africa,Storms,,34104157,561084,31
1910,Southern Africa,Storms,,7704095,388342,95
1910,Southern Africa,Storms,,11012638,653545,42
1910,Southern Asia,Droughts,,19010015,885619,92
1910,Southern Asia,Droughts,,52244712,908984,61
1910,Southern Asia,Droughts,,88807704,651793,73
1910,Southern Asia,Droughts,,24145732,65960,47
1910,Southern Asia,Floods,,4157550,203009,90
1910,Southern Asia,Floods,,7404964,826530,54
1910,Southern Asia,Floods,,67441236,141001,1
1910,Southern Asia,Floods,,32224812,929104,77
1910,Southern Asia,Storms,,4849177,626317,99
1910,Southern Asia,Storms,,18808364,352760,41
1910,Southern Asia,Storms,,24415232,810300,42
1910,Southern Asia,Storms,,53913391,972516,11
1910,Southern Europe,Droughts,,94779676,588031,77
1910,Southern Europe,Droughts,,19405941,910894,77
1910,Southern Europe,Droughts,,28099089,162081,29
1910,Southern Europe,Droughts,,32625954,937744,22
1910,Southern Europe,Floods,,20914086,851757,54
1910,Southern Europe,Floods,,41471964,620811,78
1910,Southern Europe,Floods,,91524933,592037,44
1910,Southern Europe,Floods,,45165379,47766,3
1910,Southern Europe,Storms,,63284970,944635,96
1910,Southern Europe,Storms,,89268815,833553,56
1910,Southern Europe,Storms,,84831393,205035,34
1910,Southern Europe,Storms,,31631171,928159,36
1910,Western Africa,Droughts,,6751615,551804,35
1910,Western Africa,Droughts,,33327264,121849,35
1910,Western Africa,Droughts,,71646144,783835,91
1910,Western Africa,Droughts,,17751470,254378,7
1910,Western Africa,Floods,,721131,681000,97
1910,Western Africa,Floods,,57103546,407910,13
1910,Western Africa,Floods,,28618585,162343,36
1910,Western Africa,Floods,,47096182,395515,1
1910,Western Africa,Storms,,78071839,386927,25
1910,Western Africa,Storms,,62994980,448273,72
1910,Western Africa,Storms,,36597704,858198,95
1910,Western Africa,Storms,,51018547,932873,33
1910,Western Asia,Droughts,,76589074,927575,94
1910,Western Asia,Droughts,,56640536,606624,62
1910,Western Asia,Droughts,,19608411,417900,83
1910,Western Asia,Droughts,,45200494,747838,89
1910,Western Asia,Floods,,88642698,872143,23
1910,Western Asia,Floods,,97747019,969919,63
1910,Western Asia,Floods,,78831208,84723,15
1910,Western Asia,Floods,,60589762,346389,55
1910,Western Asia,Storms,,8227217,193650,54
1910,Western Asia,Storms,,82350217,873594,41
1910,Western Asia,Storms,,21389554,412899,22
1910,Western Asia,Storms,,38311492,888658,51
1910,Western Europe,Droughts,,91974060,520271,78
1910,Western Europe,Droughts,,19437114,455728,45
1910,Western Europe,Droughts,,15477316,648179,50
1910,Western Europe,Droughts,,27892469,350371,2
1910,Western Europe,Floods,,74770914,112130,8
1910,Western Europe,Floods,,3426712,743711,34
1910,Western Europe,Floods,,57261961,385363,59
1910,Western Europe,Floods,,21235188,987307,85
1910,Western Europe,Storms,,95708533,988105,63
1910,Western Europe,Storms,,99063677,63751,24
1910,Western Europe,Storms,,36384859,876334,89
1910,Western Europe,Storms,,14426497,261015,19
1920,Australia and New Zealand,Droughts,,10408876,524842,59
1920,Australia and New Zealand,Droughts,,77557632,475943,31
1920,Australia and New Zealand,Droughts,,32885359,138828,92
1920,Australia and New Zealand,Droughts,,92536274,51584,76
1920,Australia and New Zealand,Floods,,16831785,352362,81
1920,Australia and New Zealand,Floods,,97307733,673689,24
1920,Australia and New Zealand,Floods,,9414201,270897,4
1920,Australia and New Zealand,Floods,,7273862,971249,69
1920,Australia and New Zealand,Storms,,80284158,8310,98
1920,Australia and New Zealand,Storms,,41522035,616004,96
1920,Australia and New Zealand,Storms,,46787207,182025,35
1920,Australia and New Zealand,Storms,,92315991,205302,26
1920,Caribbean,Droughts,,42295709,116596,12
1920,Caribbean,Droughts,,86259354,728130,90
1920,Caribbean,Droughts,,32843564,78050,52
1920,Caribbean,Droughts,,70048198,189560,88
1920,Caribbean,Floods,,46270177,880003,6
1920,Caribbean,Floods,,86750450,222374,34
1920,Caribbean,Floods,,22736503,177420,26
1920,Caribbean,Floods,,55884307,644079,20
1920,Caribbean,Storms,,2601797,842132,81
1920,Caribbean,Storms,,10616828,40271,61
1920,Caribbean,Storms,,82134379,656623,53
1920,Caribbean,Storms,,70464495,788800,43
1920,Central America,Droughts,,58770460,84252,46
1920,Central America,Droughts,,90249951,7002,55
1920,Central America,Droughts,,68470570,768415,15
1920,Central America,Droughts,,2779172,615587,12
1920,Central America,Floods,,64155916,172645,80
1920,Central America,Floods,,97974350,719196,16
1920,Central America,Floods,,31997454,693703,89
1920,Central America,Floods,,59230813,963887,48
1920,Central America,Storms,,57555982,72669,28
1920,Central America,Storms,,24751872,93420,97
1920,Central America,Storms,,72258585,232639,14
1920,Central America,Storms,,78372025,906704,59
1920,Central Asia,Droughts,,15890606,773907,19
1920,Central Asia,Droughts,,25249818,190326,54
1920,Central Asia,Droughts,,28842569,157102,75
1920,Central Asia,Droughts,,67094604,629652,62
1920,Central Asia,Floods,,13338287,85160,59
1920,Central Asia,Floods,,60639386,645827,42
1920,Central Asia,Floods,,44884508,202889,28
1920,Central Asia,Floods,,53518782,144240,66
1920,Central Asia,Storms,,48423879,55021,12
1920,Central Asia,Storms,,55429102,186768,16
1920,Central Asia,Storms,,93730953,879311,69
1920,Central Asia,Storms,,17975126,206901,52
1920,Eastern Africa,Droughts,,73495836,509489,83
1920,Eastern Africa,Droughts,,51734226,160130,47
1920,Eastern Africa,Droughts,,57758880,538437,41
