Decade,UN_Geosheme_Subregion,Disaster_Type,RCP,Financial_Impact,Human_Impact,DO,°C
1910,South-Eastern Asia,Droughts,,16825330,467666,18,49
1910,South-Eastern Asia,Floods,,65086352,622024,60,8
1910,South-Eastern Asia,Storms,,9326668,976557,9,5
1910,Southern Africa,Droughts,,29402468,161152,95,-4
1910,Southern Africa,Floods,,61072633,793982,16,42
1910,Southern Africa,Storms,,44211891,774583,80,-22
1910,Southern Asia,Droughts,,62293769,849981,53,-1
1910,Southern Asia,Floods,,51097520,386362,51,-4
1910,Southern Asia,Storms,,22263280,499354,6,20
1910,Southern Europe,Droughts,,13277450,832437,33,-4
1910,Southern Europe,Floods,,92276274,965258,90,-44
1910,Southern Europe,Storms,,42153549,76250,55,-29
1910,Western Africa,Droughts,,83781796,582185,24,2
1910,Western Africa,Floods,,94245042,438031,53,19
1910,Western Africa,Storms,,68865743,688287,76,35
1910,Western Asia,Droughts,,1986587,33323,70,-16
1910,Western Asia,Floods,,11039000,760919,99,47
1910,Western Asia,Storms,,3803656,495110,95,-50
1910,Western Europe,Droughts,,3062119,881127,88,-13
1910,Western Europe,Floods,,72512922,292959,54,-10
1910,Western Europe,Storms,,37906532,942086,94,-42
1920,Australia and New Zealand,Droughts,,27766310,52241,2,-40
1920,Australia and New Zealand,Floods,,53669883,344246,85,39
1920,Australia and New Zealand,Storms,,27537212,951519,14,-29
1920,Caribbean,Droughts,,40501853,476947,30,27
1920,Caribbean,Floods,,51851916,571123,18,-45
1920,Caribbean,Storms,,92137223,543146,35,2
1920,Central America,Droughts,,2887078,634849,57,18
1920,Central America,Floods,,31423159,147522,88,-4
1920,Central America,Storms,,42844901,852402,72,-34
1920,Central Asia,Droughts,,92484121,649174,34,-18
1920,Central Asia,Floods,,10223839,617369,37,-25
1920,Central Asia,Storms,,63666808,821087,40,-10
1920,Eastern Africa,Droughts,,695293,760873,69,17
1920,Eastern Africa,Floods,,22570176,906412,92,-54
1920,Eastern Africa,Storms,,24151100,161221,55,-6
1920,Eastern Asia,Droughts,,28605118,548503,64,-58
1920,Eastern Asia,Floods,,54429434,930470,28,-46
1920,Eastern Asia,Storms,,95345763,649008,57,-23
1920,Eastern Europe,Droughts,,75936787,634478,81,7
1920,Eastern Europe,Floods,,89969515,177565,90,-50
1920,Eastern Europe,Storms,,25488754,298023,92,34
1920,Melanesia,Droughts,,9656092,98009,64,-20
1920,Melanesia,Floods,,85323950,420014,55,2
1920,Melanesia,Storms,,99099420,712832,55,-2
1920,Micronesia,Droughts,,41380128,329688,97,-29
1920,Micronesia,Floods,,70246835,434181,70,14
1920,Micronesia,Storms,,18114880,703160,61,29
1920,Middle Africa,Droughts,,10506509,430382,48,-46
1920,Middle Africa,Floods,,23056761,234353,59,-57
1920,Middle Africa,Storms,,37265939,433340,92,-27
1920,Northern Africa,Droughts,,43013397,947734,37,-2
1920,Northern Africa,Floods,,67387912,19479,76,-21
1920,Northern Africa,Storms,,66358106,73799,80,22
1920,Northern America,Droughts,,92804063,881165,51,-30
1920,Northern America,Floods,,3819836,567408,38,43
1920,Northern America,Storms,,43536035,445228,52,-26
1920,Northern Europe,Droughts,,10150171,270513,67,28
1920,Northern Europe,Floods,,52268697,516618,76,3
1920,Northern Europe,Storms,,19393568,103771,52,40
1920,Polynesia,Droughts,,3573290,957698,16,-1
1920,Polynesia,Floods,,10528367,8456,6,-37
1920,Polynesia,Storms,,43320342,711245,75,-54
1920,South America,Droughts,,94713190,909725,52,-17
1920,South America,Floods,,2190940,511779,14,11
1920,South America,Storms,,36086244,952698,85,25
1920,South-Eastern Asia,Droughts,,60709914,781559,45,-55
1920,South-Eastern Asia,Floods,,67703417,983313,30,-55
1920,South-Eastern Asia,Storms,,63468360,232478,49,-12
1920,Southern Africa,Droughts,,3788005,561612,35,-57
1920,Southern Africa,Floods,,58913551,218173,9,6
1920,Southern Africa,Storms,,10486753,984829,26,-34
1920,Southern Asia,Droughts,,89919153,322389,4,37
1920,Southern Asia,Floods,,97684421,205369,51,24
1920,Southern Asia,Storms,,70758035,863079,66,-23
1920,Southern Europe,Droughts,,87476440,464226,0,-34
1920,Southern Europe,Floods,,25465573,203807,75,-17
1920,Southern Europe,Storms,,652441,189789,54,44
1920,Western Africa,Droughts,,30259321,205300,55,-55
1920,Western Africa,Floods,,62853756,421042,90,28
1920,Western Africa,Storms,,51086354,371367,20,-46
1920,Western Asia,Droughts,,5566868,173946,61,-28
1920,Western Asia,Floods,,13675680,979162,11,-49
1920,Western Asia,Storms,,75607949,429457,88,32
1920,Western Europe,Droughts,,77133057,156832,76,-56
1920,Western Europe,Floods,,66979476,903240,26,11
1920,Western Europe,Storms,,80708016,615323,20,16
1930,Australia and New Zealand,Droughts,,27158166,233449,56,33
1930,Australia and New Zealand,Floods,,16998062,607264,1,-9
1930,Australia and New Zealand,Storms,,31816427,253935,78,-22
1930,Caribbean,Droughts,,18209822,836769,66,20
1930,Caribbean,Floods,,44779457,238757,85,32
1930,Caribbean,Storms,,8989071,410885,88,-48
1930,Central America,Droughts,,62374839,334925,61,-42
1930,Central America,Floods,,77314536,435191,16,-34
1930,Central America,Storms,,89115210,91240,24,-16
1930,Central Asia,Droughts,,99001312,699639,6,-22
1930,Central Asia,Floods,,87741430,305347,84,-60
1930,Central Asia,Storms,,61796857,259664,41,-25
1930,Eastern Africa,Droughts,,24484775,252524,26,42
1930,Eastern Africa,Floods,,10984900,189775,79,-2
1930,Eastern Africa,Storms,,21281516,923743,3,-3
1930,Eastern Asia,Droughts,,36962988,684656,74,-35
1930,Eastern Asia,Floods,,71739782,210069,29,17
1930,Eastern Asia,Storms,,54425520,379626,43,-25
1930,Eastern Europe,Droughts,,9216378,577731,83,14
1930,Eastern Europe,Floods,,16208039,751322,82,46
1930,Eastern Europe,Storms,,3864070,303971,13,-59
1930,Melanesia,Droughts,,91540365,238892,13,-1
1930,Melanesia,Floods,,23618654,271324,62,-25
1930,Melanesia,Storms,,24255186,187014,7,41
1930,Micronesia,Droughts,,46355159,165863,6,30
1930,Micronesia,Floods,,25931598,680025,88,-33
1930,Micronesia,Storms,,24701449,45948,74,-26
1930,Middle Africa,Droughts,,9048006,527312,15,-18
1930,Middle Africa,Floods,,2184871,727010,91,31
1930,Middle Africa,Storms,,86139581,327815,91,10
1930,Northern Africa,Droughts,,99256310,305364,32,-1
1930,Northern Africa,Floods,,46774556,814243,79,45
1930,Northern Africa,Storms,,46714734,751413,56,48
1930,Northern America,Droughts,,49420720,511309,26,-9
1930,Northern America,Floods,,46405418,1137,0,42
1930,Northern America,Storms,,26578194,304865,25,0
1930,Northern Europe,Droughts,,17723159,407888,12,13
1930,Northern Europe,Floods,,17901586,827440,81,11
1930,Northern Europe,Storms,,30609436,446927,83,18
1930,Polynesia,Droughts,,63790865,914756,95,-43
1930,Polynesia,Floods,,64491327,623006,85,26
1930,Polynesia,Storms,,86599338,86021,78,1
1930,South America,Droughts,,87258344,504668,96,-36
1930,South America,Floods,,52651801,193576,40,-51
1930,South America,Storms,,84318990,182827,82,-30
1930,South-Eastern Asia,Droughts,,38835629,623731,98,-12
1930,South-Eastern Asia,Floods,,589072,790434,54,-54
1930,South-Eastern Asia,Storms,,6149379,453361,32,4
1930,Southern Africa,Droughts,,12426768,26721,21,-40
1930,Southern Africa,Floods,,92090375,18492,4,-30
1930,Southern Africa,Storms,,5729370,214402,25,-7
1930,Southern Asia,Droughts,,54901866,127960,11,17
1930,Southern Asia,Floods,,43560513,474842,71,46
1930,Southern Asia,Storms,,12926271,205497,96,-16
1930,Southern Europe,Droughts,,41660032,74594,21,44
1930,Southern Europe,Floods,,97944921,426377,39,-6
1930,Southern Europe,Storms,,88679960,855272,28,-48
1930,Western Africa,Droughts,,10828548,183954,50,43
1930,Western Africa,Floods,,7006929,783731,95,45
1930,Western Africa,Storms,,34492097,12464,47,9
1930,Western Asia,Droughts,,36596478,678682,18,32
1930,Western Asia,Floods,,6833674,105211,18,-34
1930,Western Asia,Storms,,78906417,59217,94,-55
1930,Western Europe,Droughts,,90297926,100724,93,36
1930,Western Europe,Floods,,29215611,435606,35,6
1930,Western Europe,Storms,,71721627,907368,1,-31
1940,Australia and New Zealand,Droughts,,25067228,571710,19,-1
1940,Australia and New Zealand,Floods,,37541505,701097,20,39
1940,Australia and New Zealand,Storms,,22989621,91736,79,-52
1940,Caribbean,Droughts,,50036657,986871,95,-9
1940,Caribbean,Floods,,68629707,815898,15,-30
1940,Caribbean,Storms,,90938784,513260,95,-50
1940,Central America,Droughts,,79203858,921173,65,-57
1940,Central America,Floods,,3997479,14556,40,-34
1940,Central America,Storms,,90539063,921678,87,28
1940,Central Asia,Droughts,,68661750,348124,26,-21
1940,Central Asia,Floods,,88577263,342295,63,-45
1940,Central Asia,Storms,,49307495,771003,45,-6
1940,Eastern Africa,Droughts,,37574649,551569,86,-8
1940,Eastern Africa,Floods,,29666009,564299,55,5
1940,Eastern Africa,Storms,,95994154,116431,3,4
1940,Eastern Asia,Droughts,,93402551,772507,97,-26
1940,Eastern Asia,Floods,,40668098,532418,63,-43
1940,Eastern Asia,Storms,,20228256,900993,18,-4
1940,Eastern Europe,Droughts,,36578372,792060,44,15
1940,Eastern Europe,Floods,,36822938,570339,87,39
1940,Eastern Europe,Storms,,40686307,831390,54,-42
1940,Melanesia,Droughts,,14869362,735662,2,8
1940,Melanesia,Floods,,36081906,48271,85,11
1940,Melanesia,Storms,,85600020,382824,22,48
1940,Micronesia,Droughts,,80705341,453834,78,-22
1940,Micronesia,Floods,,68169178,117771,55,-45
1940,Micronesia,Storms,,27680971,864657,87,-42
1940,Middle Africa,Droughts,,11097439,325459,51,-11
1940,Middle Africa,Floods,,52269128,585783,67,27
1940,Middle Africa,Storms,,45738642,633503,65,26
1940,Northern Africa,Droughts,,7001034,529884,72,38
1940,Northern Africa,Floods,,17837135,379421,26,-43
1940,Northern Africa,Storms,,3386848,679328,39,37
1940,Northern America,Droughts,,2521628,373313,72,11
1940,Northern America,Floods,,32385475,359067,87,-39
1940,Northern America,Storms,,50360725,904843,36,32
1940,Northern Europe,Droughts,,59941314,929436,9,-1
1940,Northern Europe,Floods,,86634189,548941,7,-50
1940,Northern Europe,Storms,,43424532,621896,34,-58
1940,Polynesia,Droughts,,12808917,337087,8,21
1940,Polynesia,Floods,,8568220,49110,18,-33
1940,Polynesia,Storms,,88210100,10433,1,-3
1940,South America,Droughts,,60534704,304222,98,-32
1940,South America,Floods,,24334164,291207,1,45
1940,South America,Storms,,54915138,221451,24,-34
1940,South-Eastern Asia,Droughts,,8262405,806940,69,-47
1940,South-Eastern Asia,Floods,,93566544,724404,27,-11
1940,South-Eastern Asia,Storms,,8530821,80008,34,41
1940,Southern Africa,Droughts,,80179233,773071,96,-16
1940,Southern Africa,Floods,,98026128,998771,27,-43
1940,Southern Africa,Storms,,33562111,337589,35,8
1940,Southern Asia,Droughts,,6598206,791804,98,-24
1940,Southern Asia,Floods,,29465894,13285,23,-33
1940,Southern Asia,Storms,,29027054,498082,57,-41
1940,Southern Europe,Droughts,,37569808,357189,97,-37
1940,Southern Europe,Floods,,90231137,942451,6,11
1940,Southern Europe,Storms,,57538467,60910,30,-23
1940,Western Africa,Droughts,,84766353,426006,27,5
1940,Western Africa,Floods,,66282489,214337,4,28
1940,Western Africa,Storms,,89029822,626892,2,-25
1940,Western Asia,Droughts,,9312761,966848,68,-14
1940,Western Asia,Floods,,72733843,564910,58,-5
1940,Western Asia,Storms,,74306978,133620,29,-14
1940,Western Europe,Droughts,,524393,122603,29,-24
1940,Western Europe,Floods,,58524626,192323,74,32
1940,Western Europe,Storms,,48449049,467710,15,10
1950,Australia and New Zealand,Droughts,,72230173,957837,57,-27
1950,Australia and New Zealand,Floods,,49240332,542364,98,-15
1950,Australia and New Zealand,Storms,,39786825,929607,81,2
1950,Caribbean,Droughts,,3476429,477492,72,25
1950,Caribbean,Floods,,53251836,219971,31,13
1950,Caribbean,Storms,,88821371,593169,1,26
1950,Central America,Droughts,,16105342,304798,5,-14
1950,Central America,Floods,,42370888,661495,50,-26
1950,Central America,Storms,,71281794,155070,88,-47
1950,Central Asia,Droughts,,11873307,757841,2,48
1950,Central Asia,Floods,,57740879,346044,6,9
1950,Central Asia,Storms,,7648835,689216,26,14
1950,Eastern Africa,Droughts,,78355123,709221,51,43
1950,Eastern Africa,Floods,,59483786,52286,94,-39
1950,Eastern Africa,Storms,,89809503,282002,76,10
1950,Eastern Asia,Droughts,,70074878,496196,61,49
1950,Eastern Asia,Floods,,68837684,206162,47,12
1950,Eastern Asia,Storms,,33657563,587843,85,27
1950,Eastern Europe,Droughts,,42256705,856112,45,35
1950,Eastern Europe,Floods,,80925301,469692,51,-49
1950,Eastern Europe,Storms,,92593909,306739,77,-55
1950,Melanesia,Droughts,,58191045,155534,90,33
1950,Melanesia,Floods,,89067732,545150,25,-26
1950,Melanesia,Storms,,97843394,19696,26,45
1950,Micronesia,Droughts,,69988379,740931,83,-31
1950,Micronesia,Floods,,5700765,689401,11,-16
1950,Micronesia,Storms,,37110828,235207,41,33
1950,Middle Africa,Droughts,,47170050,701024,0,35
1950,Middle Africa,Floods,,22611523,261791,18,6
1950,Middle Africa,Storms,,39069432,319813,48,-19
1950,Northern Africa,Droughts,,90724402,385187,26,-44
1950,Northern Africa,Floods,,28475232,422278,72,1
1950,Northern Africa,Storms,,33680085,787324,23,-26
1950,Northern America,Droughts,,11833597,718154,76,14
1950,Northern America,Floods,,85755056,933045,47,-3
1950,Northern America,Storms,,79737862,119386,92,-57
1950,Northern Europe,Droughts,,65428812,824253,76,-5
1950,Northern Europe,Floods,,65585536,951865,7,-28
1950,Northern Europe,Storms,,86262315,324122,46,-18
1950,Polynesia,Droughts,,21324375,186047,97,-14
1950,Polynesia,Floods,,30991337,494486,97,27
1950,Polynesia,Storms,,77725191,225780,34,16
1950,South America,Droughts,,59323612,547900,19,33
1950,South America,Floods,,15146331,453896,92,19
1950,South America,Storms,,9660199,154160,2,46
1950,South-Eastern Asia,Droughts,,76593998,988709,1,45
1950,South-Eastern Asia,Floods,,54182488,986558,14,9
1950,South-Eastern Asia,Storms,,29323229,420633,16,-33
1950,Southern Africa,Droughts,,95595531,625194,85,-22
1950,Southern Africa,Floods,,86667292,721409,9,28
1950,Southern Africa,Storms,,93357671,753559,14,-15
1950,Southern Asia,Droughts,,79167133,552774,30,26
1950,Southern Asia,Floods,,68410034,685005,40,37
1950,Southern Asia,Storms,,17362528,463153,70,35
1950,Southern Europe,Droughts,,73564494,128088,22,-21
1950,Southern Europe,Floods,,39514418,807067,53,-12
1950,Southern Europe,Storms,,40784575,819526,20,-29
1950,Western Africa,Droughts,,72770634,829224,7,-2
1950,Western Africa,Floods,,27499628,311552,39,-50
1950,Western Africa,Storms,,3418028,942132,62,-11
1950,Western Asia,Droughts,,64994365,948652,29,27
1950,Western Asia,Floods,,19711164,342024,29,-25
1950,Western Asia,Storms,,83482498,439690,25,10
1950,Western Europe,Droughts,,40396189,655159,49,-35
1950,Western Europe,Floods,,20555405,234935,65,-26
1950,Western Europe,Storms,,67255741,286709,55,-14
1960,Australia and New Zealand,Droughts,,61973399,705761,55,-46
1960,Australia and New Zealand,Floods,,30382190,325382,68,16
1960,Australia and New Zealand,Storms,,2144567,914622,71,-53
1960,Caribbean,Droughts,,21795623,480603,73,-57
1960,Caribbean,Floods,,59351819,43323,17,31
1960,Caribbean,Storms,,61580296,762507,76,19
1960,Central America,Droughts,,12824063,174462,89,43
1960,Central America,Floods,,98404483,383675,78,-21
1960,Central America,Storms,,85926422,706519,17,30
1960,Central Asia,Droughts,,83791112,923648,61,37
1960,Central Asia,Floods,,56255728,766408,2,5
1960,Central Asia,Storms,,39059985,249040,8,-10
1960,Eastern Africa,Droughts,,85074060,465267,82,28
1960,Eastern Africa,Floods,,72264473,594054,82,1
1960,Eastern Africa,Storms,,75430672,758858,31,16
1960,Eastern Asia,Droughts,,29080959,655476,88,7
1960,Eastern Asia,Floods,,84862800,710115,28,6
1960,Eastern Asia,Storms,,10151122,806019,30,20
1960,Eastern Europe,Droughts,,22845765,738043,77,-57
1960,Eastern Europe,Floods,,883135,500835,45,-16
1960,Eastern Europe,Storms,,36611062,411110,37,-51
1960,Melanesia,Droughts,,47947017,359724,98,33
1960,Melanesia,Floods,,71261355,610107,96,-7
1960,Melanesia,Storms,,87519720,168499,12,41
1960,Micronesia,Droughts,,91883197,745859,33,-49
1960,Micronesia,Floods,,87561667,801366,55,-2
1960,Micronesia,Storms,,30159227,858802,17,-15
1960,Middle Africa,Droughts,,65488474,123198,17,-7
1960,Middle Africa,Floods,,32695191,168992,48,-8
1960,Middle Africa,Storms,,77740058,279942,11,42
1960,Northern Africa,Droughts,,48596624,858847,15,18
1960,Northern Africa,Floods,,6458477,111820,55,34
1960,Northern Africa,Storms,,94378371,537267,53,-11
1960,Northern America,Droughts,,53476700,485778,42,-52
1960,Northern America,Floods,,65629184,643014,73,43
1960,Northern America,Storms,,41859067,237400,82,10
1960,Northern Europe,Droughts,,99136015,933072,53,-59
1960,Northern Europe,Floods,,86581937,574166,66,-40
1960,Northern Europe,Storms,,41720691,174638,53,-19
1960,Polynesia,Droughts,,11421405,939925,74,25
1960,Polynesia,Floods,,35990918,97104,67,47
1960,Polynesia,Storms,,17633343,343276,73,-55
1960,South America,Droughts,,68473962,139997,48,-12
1960,South America,Floods,,69643202,574924,77,-52
1960,South America,Storms,,11029622,961069,50,-6
1960,South-Eastern Asia,Droughts,,85199721,289085,22,4
1960,South-Eastern Asia,Floods,,22569430,860380,40,-60
1960,South-Eastern Asia,Storms,,97621700,119006,5,9
1960,Southern Africa,Droughts,,58565294,329011,35,-5
1960,Southern Africa,Floods,,6542013,752155,62,36
1960,Southern Africa,Storms,,4961184,92666,23,18
1960,Southern Asia,Droughts,,74845636,753376,83,-15
1960,Southern Asia,Floods,,18739718,493930,25,27
1960,Southern Asia,Storms,,79046655,862649,86,16
1960,Southern Europe,Droughts,,15317051,31326,87,-40
1960,Southern Europe,Floods,,6417036,538049,95,21
1960,Southern Europe,Storms,,59555037,712522,42,-52
1960,Western Africa,Droughts,,95587403,459377,83,-48
1960,Western Africa,Floods,,33306609,392635,65,10
1960,Western Africa,Storms,,56334271,126477,63,30
1960,Western Asia,Droughts,,69680906,39157,14,-23
1960,Western Asia,Floods,,60365607,356548,6,43
1960,Western Asia,Storms,,60895464,663826,81,35
1960,Western Europe,Droughts,,66722427,331482,48,45
1960,Western Europe,Floods,,30767349,956396,38,6
1960,Western Europe,Storms,,94686554,290828,44,-19
1970,Australia and New Zealand,Droughts,,53347956,647204,57,-10
1970,Australia and New Zealand,Floods,,9429530,11871,16,-45
1970,Australia and New Zealand,Storms,,82267571,792945,52,9
1970,Caribbean,Droughts,,26009555,535766,23,-48
1970,Caribbean,Floods,,37591021,331290,51,-33
1970,Caribbean,Storms,,34315305,653280,99,-51
1970,Central America,Droughts,,92678338,643252,26,42
1970,Central America,Floods,,61613105,730463,1,-46
1970,Central America,Storms,,75962749,622348,70,-7
1970,Central Asia,Droughts,,27822699,287839,71,34
1970,Central Asia,Floods,,99271626,889121,91,13
1970,Central Asia,Storms,,68012742,857557,88,-5
1970,Eastern Africa,Droughts,,92771509,971146,25,-28
1970,Eastern Africa,Floods,,45862554,930232,65,41
1970,Eastern Africa,Storms,,64633466,660263,40,0
1970,Eastern Asia,Droughts,,91418027,942514,78,-10
1970,Eastern Asia,Floods,,3772876,306273,92,-57
1970,Eastern Asia,Storms,,56163285,895901,6,48
1970,Eastern Europe,Droughts,,43879937,487559,63,-4
1970,Eastern Europe,Floods,,31203920,798717,0,3
1970,Eastern Europe,Storms,,25231457,11380,22,-2
1970,Melanesia,Droughts,,27203090,699413,70,-29
1970,Melanesia,Floods,,60101528,188480,91,2
1970,Melanesia,Storms,,82298998,281910,39,-41
1970,Micronesia,Droughts,,53953040,656593,75,-52
1970,Micronesia,Floods,,48514252,906787,80,-25
1970,Micronesia,Storms,,17185596,149738,92,32
1970,Middle Africa,Droughts,,99514272,214762,64,48
1970,Middle Africa,Floods,,13035540,6360,78,-33
1970,Middle Africa,Storms,,99607263,677175,61,15
1970,Northern Africa,Droughts,,85226147,501984,46,-57
1970,Northern Africa,Floods,,69556299,981242,31,17
1970,Northern Africa,Storms,,3927057,565155,2,29
1970,Northern America,Droughts,,6013861,870834,89,-19
1970,Northern America,Floods,,3857545,735337,86,-36
1970,Northern America,Storms,,7237448,740347,85,-32
1970,Northern Europe,Droughts,,52559207,420272,17,-9
1970,Northern Europe,Floods,,57969823,116470,1,-12
1970,Northern Europe,Storms,,1732011,683281,64,-17
1970,Polynesia,Droughts,,78269956,129991,69,23
1970,Polynesia,Floods,,21353133,69956,62,41
1970,Polynesia,Storms,,41142681,423710,63,-14
1970,South America,Droughts,,94239185,622203,25,-1
1970,South America,Floods,,81554562,966028,96,30
1970,South America,Storms,,61948877,365469,32,-6
1970,South-Eastern Asia,Droughts,,39274133,540478,41,2
1970,South-Eastern Asia,Floods,,35808936,64783,21,-21
1970,South-Eastern Asia,Storms,,16482387,905523,65,22
1970,Southern Africa,Droughts,,6888575,974643,49,-8
1970,Southern Africa,Floods,,89984370,660067,73,-21
1970,Southern Africa,Storms,,36482929,638017,69,-51
1970,Southern Asia,Droughts,,71141335,375995,68,24
1970,Southern Asia,Floods,,66811248,433415,27,25
1970,Southern Asia,Storms,,87983474,172030,67,23
1970,Southern Europe,Droughts,,60624189,46160,40,-4
1970,Southern Europe,Floods,,95662800,358661,19,-20
1970,Southern Europe,Storms,,94082804,181842,66,-5
1970,Western Africa,Droughts,,79157493,974554,10,-2
1970,Western Africa,Floods,,98811966,357310,70,-7
1970,Western Africa,Storms,,17130638,85461,79,22
1970,Western Asia,Droughts,,37538622,384397,22,-57
1970,Western Asia,Floods,,94170819,868519,97,-51
